,course,exam,count,percweight,MCQ,SA,link
1,BIOM3010,1,2,90,45,45,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM3010
2,BIOM2010,1,2,85,45,45,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM2010
3,PHRM2012,1,2,55,120,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2012
4,PHRM3052,1,2,80,120,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3052
5,BIOM1052,1,2,70,52.5,30,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM1052
6,PHRM1011,1,3,70,62,38,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM1011
7,PHRM2021,1,1,70,120,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2021
8,PHRM2040,1,1,70,60,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2040
9,PHRM2041,1,2,70,100,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2041
10,PHRM3021,1,1,70,104,16,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3021
11,PHRM3031,1,1,70,50,10,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3031
12,PHRM3032,1,1,70,50,10,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3032
13,PHRM3041,1,1,70,60,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3041
14,PHRM4012,1,2,67,30,90,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM4012
15,PHRM4011,1,1,66,20,100,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM4011
16,CHEM1222,1,2,60,35,15,https://www.library.uq.edu.au/exams/papers.php?stub=CHEM1222
17,BIOM2015,1,1,60,39,51,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM2015
18,BIOM3011,1,1,60,30,30,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM3011
19,PHRM2011,1,1,60,90,30,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2011
20,PHRM2030,1,1,60,60,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2030
21,PHRM2050,1,1,60,60,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2050
22,PHRM3011,1,1,60,90,30,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3011
23,PHRM3012,1,1,60,120,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3012
24,PHRM4031,1,1,60,60,60,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM4031
25,PHRM1012,1,1,55,120,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM1012
26,PHRM2022,1,1,55,110,10,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM2022
27,BIOL1020,1,1,50,30,70,https://www.library.uq.edu.au/exams/papers.php?stub=BIOL1020
28,BIOL1040,1,1,50,80,40,https://www.library.uq.edu.au/exams/papers.php?stub=BIOL1040
29,BIOM1051,1,1,50,80,40,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM1051
30,BIOM2009,1,1,50,84,36,https://www.library.uq.edu.au/exams/papers.php?stub=BIOM2009
31,PHRM3042,1,1,50,100,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM3042
32,PHRM1020,1,1,42,80,0,https://www.library.uq.edu.au/exams/papers.php?stub=PHRM1020